scientific_name,common_name,variant,difficulty,light_requirement,co2_requirement,growth_rate,placement,temperature_min,temperature_max,ph_min,ph_max,gh_min,gh_max,kh_min,kh_max,height_min_cm,height_max_cm,source_name,source_url,verification_status,verified_at,notes
Cabomba aquatica,,,,,,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Decorative feathery stem plant."
Cardamine lyrata,,,,,,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Vertical pale-green growth."
Ceratophyllum demersum,,,,Low,Low,Fast,floating,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy floating/submerged plant useful in new tanks."
Ceratopteris thalictroides,,,,Low,Low,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Can also be used floating."
Cryptocoryne spiralis,,Red,,,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Tall red Cryptocoryne."
Cryptocoryne undulata,,Broad Leaf,easy,Low,Low,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Robust beginner Cryptocoryne."
Cryptocoryne usteriana,,,,Low,Low,Slow,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Tall Cryptocoryne; source notes alkaline-water tolerance."
Cryptocoryne wendtii,,Green,easy,Low,Low,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Shade-tolerant beginner plant."
Cryptocoryne wendtii,,Tropica,easy,Low,Low,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants/search/?mode=search&sew=Tropica,verified,2026-08-25,"Dark ruffled cultivar."
Cyperus helferi,,,,,,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Tall grass-like plant."
Echinodorus grisebachii,,Bleherae,easy,Low,Low,Medium,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Very easy solitary sword plant."
Echinodorus grisebachii,,Tropica,easy,Low,Low,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Compact slow-growing cultivar."
Echinodorus,,Ozelot,easy,Low,Low,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Spotted solitary cultivar; hybrid name retained."
Eleocharis parvula,,,,Low,Low,Fast,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy carpeting plant."
Eleocharis montevidensis,,,,,,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Tall grass-like plant."
Eriocaulon cinereum,,,,,,,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Source explicitly notes it does not thrive in hard water."
Eriocaulon sp.,,Vietnam,,,,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Trade-name taxon."
Fissidens fontanus,,,,Low,Low,Slow,hardscape,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Moss for rock and wood."
Glossostigma elatinoides,,,,High,High,Fast,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Requires intense light and CO2 to thrive."
Helanthium bolivianum,,Quadricostatus,easy,Low,Low,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Previously Echinodorus quadricostatus."
Helanthium tenellum,,Green,easy,Low,Low,Medium,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Spreads by runners."
Heteranthera zosterifolia,,,,Low,Low,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy fast-growing beginner plant."
Hottonia palustris,,,,Low,Low,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Useful transition plant."
Hydrocotyle tripartita,,,,,,Fast,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Fast carpeting growth."
Hydrocotyle verticillata,,,,High,,Medium,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"High light for best carpeting form."
Hygrophila corymbosa,,,,Low,Low,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy beginner stem plant."
Hygrophila corymbosa,,Compact,,,,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Compact cultivar."
Hygrophila corymbosa,,Stricta,easy,Low,Low,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Fast-growing beginner plant."
Hygrophila costata,,,,Low,Low,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy narrow-leaved stem plant."
Hygrophila difformis,,,,Low,Low,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy auxiliary plant for new tanks."
Hygrophila lancea,,Araguaia,,,,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Compact coloured stem cultivar."
Hygrophila pinnatifida,,,,,,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Can attach/grow on wood and rock."
Hygrophila polysperma,,,,Low,Low,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Very easy beginner plant."
Hygrophila polysperma,,Rosanervig,,High,,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"High light needed for intense pink coloration."
Juncus repens,,,,,,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Green under moderate light; reddish under strong light."
Lagenandra meeboldii,,Red,easy,,,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Good light enhances colour."
Lilaeopsis brasiliensis,,,,Low,Low,Medium,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy carpeting plant."
Limnobium laevigatum,,,,Low,Low,Fast,floating,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Fast-growing surface plant."
Limnophila sessiliflora,,,,Low,Low,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy fast-growing stem plant."
Lindernia rotundifolia,,,,Low,Low,Medium,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy marbled-leaf stem plant."
Littorella uniflora,,,,Low,Low,Slow,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Tolerates low light."
Lobelia cardinalis,,,,Low,Low,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy hardy plant."
Lobelia cardinalis,,Mini,easy,,,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Compact cultivar; more CO2/light improves compactness."
Ludwigia glandulosa,,,,,,Slow,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Intense red, fairly slow-growing stem."
Ludwigia palustris,,Green,easy,,,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy green stem cultivar."
Ludwigia palustris,,Super Red,easy,,,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy red stem cultivar."
Ludwigia repens,,Rubin,easy,High,,Medium,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Red coloration intensifies with high light."
Marsilea hirsuta,,,,Low,Low,Medium,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy carpeting plant."
Monosolenium tenerum,,,,Low,Low,Slow,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Liverwort; previously known in trade as Pellia."
Murdannia keisak,,,,,,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Fast-growing bamboo-like stem."
Myriophyllum mattogrossense,,,,,,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Very fast-growing auxiliary plant."
Myriophyllum sp.,,Guyana,,,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Trade-name taxon suitable for nano tanks."
Najas guadalupensis,Guppy Grass,,,Low,Low,Fast,floating,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Can float or be anchored."
Nymphaea lotus,,,,,,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Solitary bulb plant."
Nymphoides hydrophylla,,Taiwan,easy,,,Fast,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy fast-growing lush plant."
Phyllanthus fluitans,,,,High,,Medium,floating,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Red coloration under strong light."
Proserpinaca palustris,,Cuba,,,,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"High-tech plant; propagates by cuttings."
Ranunculus inundatus,,,,,,Medium,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Low compact growth."
Riccia fluitans,,,,Low,Low,Fast,floating,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Floating liverwort; can be attached to hardscape."
Rotala indica,,Bonsai,,High,,Medium,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Previously known in trade as Ammania Bonsai."
Rotala macrandra,,,,High,High,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Requires excellent conditions."
Rotala wallichii,,,,High,High,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Demanding red-tipped stem plant."
Sagittaria subulata,,,,Low,Low,Medium,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy beginner plant; height varies with conditions."
Sagittaria subulata,,Needle Leaf,easy,Low,Low,Medium,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Narrow-leaved background cultivar."
Salvinia minima,,,,Low,Low,Medium,floating,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Floating plant; historical Salvinia natans trade naming should be alias-reviewed."
